INSTNM,CITY,STABBR
Merrillville Beauty College,Merrillville,IN
Brown Mackie College-South Bend,South Bend,IN
Mid-America College of Funeral Service,Jeffersonville,IN
West Michigan College of Barbering and Beauty,Kalamazoo,MI
University of Notre Dame,Notre Dame,IN
Oakland City University,Oakland City,IN
PJ's College of Cosmetology-Richmond,Richmond,IN
Purdue University-Calumet Campus,Hammond,IN
Purdue University-North Central Campus,Westville,IN
Ravenscroft Beauty College,Fort Wayne,IN
Rogers Academy of Hair Design,Evansville,IN
Rose-Hulman Institute of Technology,Terre Haute,IN
Rudae's School of Beauty Culture-Kokomo,Kokomo,IN
University of Saint Francis-Fort Wayne,Fort Wayne,IN
Saint Josephs College,Rensselaer,IN
Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN
Saint Mary's College,Notre Dame,IN
Brightwood College-Hammond,Hammond,IN
Saint Meinrad School of Theology,St. Meinrad,IN
Saint Elizabeth School of Nursing,Lafayette,IN
Taylor University,Upland,IN
Trine University,Angola,IN
Valparaiso University,Valparaiso,IN
Vincennes Beauty College,Vincennes,IN
Vincennes University,Vincennes,IN
Wabash College,Crawfordsville,IN
Allen College,Waterloo,IA
AIB College of Business,Des Moines,IA
Briar Cliff University,Sioux City,IA
Buena Vista University,Storm Lake,IA
Capri College-Dubuque,Dubuque,IA
Capri College-Cedar Rapids,Cedar Rapids,IA
American College of Hairstyling-Cedar Rapids,Cedar Rapids,IA
Central College,Pella,IA
Clarke University,Dubuque,IA
Coe College,Cedar Rapids,IA
Cornell College,Mount Vernon,IA
Iowa School of Beauty-Marshalltown,Marshalltown,IA
Des Moines Area Community College,Ankeny,IA
Divine Word College,Epworth,IA
Dordt College,Sioux Center,IA
Drake University,Des Moines,IA
University of Dubuque,Dubuque,IA
Ellsworth Community College,Iowa Falls,IA
Emmaus Bible College,Dubuque,IA
Eastern Iowa Community College District,Davenport,IA
Faith Baptist Bible College and Theological Seminary,Ankeny,IA
Faust Institute of Cosmetology-Storm Lake,Storm Lake,IA
Graceland University-Lamoni,Lamoni,IA
Grand View University,Des Moines,IA
Grinnell College,Grinnell,IA
Kaplan University-Mason City Campus,Mason City,IA
Kaplan University-Cedar Rapids Campus,Cedar Rapids,IA
Hamilton Technical College,Davenport,IA
Hawkeye Community College,Waterloo,IA
American Hair Academy,Mt. Pleasant,IA
Indian Hills Community College,Ottumwa,IA
Iowa Central Community College,Fort Dodge,IA
Iowa Lakes Community College,Estherville,IA
UnityPoint Health-Des Moines School of Radiologic Technology,Des Moines,IA
American College of Hairstyling-Des Moines,Des Moines,IA
Iowa School of Beauty-Des Moines,Des Moines,IA
Iowa State University,Ames,IA
Iowa Wesleyan University,Mount Pleasant,IA
Iowa Western Community College,Council Bluffs,IA
University of Iowa,Iowa City,IA
Kirkwood Community College,Cedar Rapids,IA
La James International College-Cedar Falls,Cedar Falls,IA
La James International College-Johnston,Johnston,IA
La James College of Hairstyling and Cosmetology,Mason City,IA
La James International College-Ft Dodge,Fort Dodge,IA
Loras College,Dubuque,IA
Luther College,Decorah,IA
Maharishi University of Management,Fairfield,IA
Marshalltown Community College,Marshalltown,IA
Mercy College of Health Sciences,Des Moines,IA
Morningside College,Sioux City,IA
Mount Mercy University,Cedar Rapids,IA
Ashford University,San Diego,CA
North Iowa Area Community College,Mason City,IA
University of Northern Iowa,Cedar Falls,IA
Northwestern College,Orange City,IA
Northeast Iowa Community College,Calmar,IA
Northwest Iowa Community College,Sheldon,IA
Des Moines University-Osteopathic Medical Center,Des Moines,IA
Iowa School of Beauty-Ottumwa,Ottumwa,IA
Palmer College of Chiropractic,Davenport,IA
PCI Academy-Ames,Ames,IA
Saint Ambrose University,Davenport,IA
St Luke's College,Sioux City,IA
La James International College-Davenport,Davenport,IA
La James International College-Iowa City,Iowa City,IA
Simpson College,Indianola,IA
Southeastern Community College,West Burlington,IA
Southwestern Community College,Creston,IA
Capri College-Davenport,Davenport,IA
Iowa School of Beauty-Sioux City,Sioux City,IA
E Q School of Hair Design,Council Bluffs,IA
Upper Iowa University,Fayette,IA
Waldorf College,Forest City,IA
Wartburg College,Waverly,IA
Wartburg Theological Seminary,Dubuque,IA
College of Hair Design,Waterloo,IA
Western Iowa Tech Community College,Sioux City,IA
William Penn University,Oskaloosa,IA
Allen County Community College,Iola,KS
Baker University,Baldwin City,KS
Barton County Community College,Great Bend,KS
Benedictine College,Atchison,KS
Bethany College,Lindsborg,KS
Bethel College-North Newton,North Newton,KS
Brown Mackie College-Kansas City,Lenexa,KS
Brown Mackie College-Salina,Salina,KS
Bryan University,Topeka,KS
Butler Community College,El Dorado,KS
Central Baptist Theological Seminary,Shawnee,KS
Central Christian College of Kansas,McPherson,KS
Cloud County Community College,Concordia,KS
Coffeyville Community College,Coffeyville,KS
Colby Community College,Colby,KS
Cowley County Community College,Arkansas City,KS
Marinello Schools of Beauty-Manhattan,Manhattan,KS
Dodge City Community College,Dodge City,KS
Donnelly College,Kansas City,KS
Emporia State University,Emporia,KS
Flint Hills Technical College,Emporia,KS
Fort Hays State University,Hays,KS
Barclay College,Haviland,KS
Friends University,Wichita,KS
Fort Scott Community College,Fort Scott,KS
Garden City Community College,Garden City,KS
Haskell Indian Nations University,Lawrence,KS
Hays Academy of Hair Design,Hays,KS
Hesston College,Hesston,KS
Highland Community College,Highland,KS
Hutchinson Community College,Hutchinson,KS
Independence Community College,Independence,KS
Johnson County Community College,Overland Park,KS
Concorde Career College-Kansas City,Kansas City,MO
Kansas City Kansas Community College,Kansas City,KS
Kansas Christian College,Overland Park,KS
University of Kansas,Lawrence,KS
Newman University,Wichita,KS
Old Town Barber College-Wichita,Wichita,KS
Kansas State University,Manhattan,KS
Kansas Wesleyan University,Salina,KS
Washburn Institute of Technology,Topeka,KS
La Baron Hairdressing Academy-Overland Park,Overland Park,KS
Labette Community College,Parsons,KS
Manhattan Area Technical College,Manhattan,KS
Manhattan Christian College,Manhattan,KS
McPherson College,McPherson,KS
MidAmerica Nazarene University,Olathe,KS
Neosho County Community College,Chanute,KS
North Central Kansas Technical College,Beloit,KS
Northwest Kansas Technical College,Goodland,KS
Ottawa University-Ottawa,Ottawa,KS
Ottawa University-Kansas City,Overland Park,KS
Pittsburg State University,Pittsburg,KS
Pratt Community College,Pratt,KS
University of Saint Mary,Leavenworth,KS
Salina Area Technical College,Salina,KS
Seward County Community College and Area Technical School,Liberal,KS
Sidneys Hair Dressing College,Hutchinson,KS
Southwestern College,Winfield,KS
Sterling College,Sterling,KS
Tabor College,Hillsboro,KS
Washburn University,Topeka,KS
Wichita Area Technical College,Wichita,KS
Wichita State University,Wichita,KS
Wichita Technical Institute,Wichita,KS
Alice Lloyd College,Pippa Passes,KY
Asbury University,Wilmore,KY
Asbury Theological Seminary,Wilmore,KY
Ashland Community and Technical College,Ashland,KY
Barrett and Company School of Hair Design,Nicholasville,KY
Bellarmine University,Louisville,KY
Berea College,Berea,KY
PJ's College of Cosmetology-Bowling Green,Bowling Green,KY
Southcentral Kentucky Community and Technical College,Bowling Green,KY
Brescia University,Owensboro,KY
Campbellsville University,Campbellsville,KY
Bluegrass Community and Technical College,Lexington,KY
Centre College,Danville,KY
Clear Creek Baptist Bible College,Pineville,KY
Paul Mitchell the School-Lexington,Lexington,KY
Collins School of Cosmetology,Middlesboro,KY
Galen College of Nursing-Louisville,Louisville,KY
University of the Cumberlands,Williamsburg,KY
Eastern Kentucky University,Richmond,KY
Elizabethtown Community and Technical College,Elizabethtown,KY
Frontier Nursing University,Hyden,KY
Georgetown College,Georgetown,KY
PJ's College of Cosmetology-Glasgow,Glasgow,KY
Hazard Community and Technical College,Hazard,KY
Paul Mitchell the School-Louisville,Louisville,KY
Henderson Community College,Henderson,KY
Hopkinsville Community College,Hopkinsville,KY
Daymar College-Paducah Main,Paducah,KY
Jefferson Community and Technical College,Louisville,KY
Jenny Lea Academy of Cosmetology,Harlan,KY
Summit Salon Academy-Lexington,Lexington,KY
American National University-Lexington,Lexington,KY
Kentucky Mountain Bible College,Jackson,KY
Kentucky State University,Frankfort,KY
Kentucky Wesleyan College,Owensboro,KY
University of Kentucky,Lexington,KY
Kentucky Christian University,Grayson,KY
Lexington Theological Seminary,Lexington,KY
Lindsey Wilson College,Columbia,KY
Sullivan College of Technology and Design,Louisville,KY
University of Louisville,Louisville,KY
Louisville Presbyterian Theological Seminary,Louisville,KY
Madisonville Community College,Madisonville,KY
Maysville Community and Technical College,Maysville,KY
Midway University,Midway,KY
Morehead State University,Morehead,KY
Murray State University,Murray,KY
Gateway Community and Technical College,Florence,KY
Northern Kentucky University,Highland Heights,KY
Nutek Academy of Beauty Inc,Mount Sterling,KY
Daymar College-Owensboro,Owensboro,KY
West Kentucky Community and Technical College,Paducah,KY
Pat Wilson's Beauty College,Henderson,KY
University of Pikeville,Pikeville,KY
Big Sandy Community and Technical College,Prestonsburg,KY
Brown Mackie College-Louisville,Louisville,KY
Empire Beauty School-Chenoweth,Louisville,KY
Saint Catharine College,Saint Catharine,KY
Empire Beauty School-Elizabethtown,Elizabethtown,KY
Empire Beauty School-Dixie,Louisville,KY
Empire Beauty School-Florence,Florence,KY
Brown Mackie College-Northern Kentucky,Fort Mitchell,KY
Somerset Community College,Somerset,KY
Southeast Kentucky Community and Technical College,Cumberland,KY
Spalding University,Louisville,KY
Spencerian College-Louisville,Louisville,KY
Sullivan University,Louisville,KY
Thomas More College,Crestview Hills,KY
Transylvania University,Lexington,KY
Trend Setters' Academy of Beauty Culture-Louisville,Louisville,KY
Union College,Barbourville,KY
Western Kentucky University,Bowling Green,KY
Central Louisiana Technical Community College,Alexandria,LA
American School of Business,Shreveport,LA
Ayers Career College,Shreveport,LA
Baton Rouge General Medical Center-School of Nursing,Baton Rouge,LA
Baton Rouge General Medical Center-School of Radiologic Technology,Baton Rouge,LA
Baton Rouge School of Computers,Baton Rouge,LA
Capital Area Technical College,Baton Rouge,LA
Bossier Parish Community College,Bossier City,LA
Cameron College,New Orleans,LA
Centenary College of Louisiana,Shreveport,LA
Cloyd's Beauty School 1 Inc,West Monroe,LA
Crescent City Bartending School,New Orleans,LA
D'Jay's School of Beauty Arts and Sciences,Baton Rouge,LA
Delgado Community College,New Orleans,LA
Delta School of Business and Technology,Lake Charles,LA
Demmons School of Beauty,Lake Charles,LA
Denham Springs Beauty School,Denham Springs,LA
Dillard University,New Orleans,LA
Nunez Community College,Chalmette,LA
Grambling State University,Grambling,LA
Guy's Shreveport Academy of Cosmetology Inc,Shreveport,LA
ITI Technical College,Baton Rouge,LA
John Jay Beauty College,New Orleans,LA
John Jay Beauty College,Kenner,LA
Louisiana State University Health Sciences Center-New Orleans,New Orleans,LA
Louisiana State University-Alexandria,Alexandria,LA
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA
Louisiana State University-Eunice,Eunice,LA
Louisiana State University-Shreveport,Shreveport,LA
Aveda Institute-Baton Rouge,Baton Rouge,LA
Aveda Institute-Lafayette,Lafayette,LA
Louisiana Academy of Beauty,Eunice,LA
Louisiana College,Pineville,LA
Opelousas School of Cosmetology,Opelousas,LA
Louisiana Tech University,Ruston,LA
Loyola University New Orleans,New Orleans,LA
McNeese State University,Lake Charles,LA
University of New Orleans,New Orleans,LA
Nicholls State University,Thibodaux,LA
University of Louisiana at Monroe,Monroe,LA
Northwest Louisiana Technical College,Minden,LA
Notre Dame Seminary Graduate School of Theology,New Orleans,LA
Northwestern State University of Louisiana,Natchitoches,LA
University of Holy Cross,New Orleans,LA
Our Lady of the Lake College,Baton Rouge,LA
Pat Goins Benton Road Beauty School,Bossier City,LA
Celebrity Stylist Beauty School,Monroe,LA
Pat Goins Ruston Beauty School,Ruston,LA
Pineville Beauty School,Pineville,LA
Aveda Institute-Covington,Covington,LA
Saint Joseph Seminary College,St. Benedict,LA
Vanguard College of Cosmetology-Slidell,Slidell,LA
South Louisiana Beauty College,Houma,LA
Fletcher Technical Community College,Schriever,LA
Remington College-Lafayette Campus,Lafayette,LA
SOWELA Technical Community College,Lake Charles,LA
Stevensons Academy of Hair Design,New Orleans,LA
Southeastern Louisiana University,Hammond,LA
Southern University and A & M College,Baton Rouge,LA
Southern University at New Orleans,New Orleans,LA
Southern University at Shreveport,Shreveport,LA
University of Louisiana at Lafayette,Lafayette,LA
Northshore Technical Community College,Bogalusa,LA
Tulane University of Louisiana,New Orleans,LA
Xavier University of Louisiana,New Orleans,LA
South Central Louisiana Technical College,Morgan City,LA
Kaplan University-Maine Campus,S Portland,ME
College of the Atlantic,Bar Harbor,ME
Bates College,Lewiston,ME
Beal College,Bangor,ME
Bowdoin College,Brunswick,ME
Maine College of Health Professions,Lewiston,ME
Central Maine Community College,Auburn,ME
Colby College,Waterville,ME
Eastern Maine Community College,Bangor,ME
Husson University,Bangor,ME
Kennebec Valley Community College,Fairfield,ME
The Landing School,Arundel,ME
University of Maine at Augusta,Augusta,ME
University of Maine at Farmington,Farmington,ME
University of Maine at Fort Kent,Fort Kent,ME
University of Maine at Machias,Machias,ME
University of Maine,Orono,ME
Maine Maritime Academy,Castine,ME
University of Maine at Presque Isle,Presque Isle,ME
University of New England,Biddeford,ME
Northern Maine Community College,Presque Isle,ME
Empire Beauty School-Maine,Portland,ME
Maine College of Art,Portland,ME
Saint Joseph's College of Maine,Standish,ME
Spa Tech Institute-Westbrook,Westbrook,ME
Southern Maine Community College,South Portland,ME
University of Southern Maine,Portland,ME
Thomas College,Waterville,ME
Unity College,Unity,ME
Washington County Community College,Calais,ME
Aaron's Academy of Beauty,Waldorf,MD
Aesthetics Institute of Cosmetology,Gaithersburg,MD
Allegany College of Maryland,Cumberland,MD
Anne Arundel Community College,Arnold,MD
Brightwood College-Towson,Towson,MD
Award Beauty School,Hagerstown,MD
Baltimore Studio of Hair Design,Baltimore,MD
Baltimore City Community College,Baltimore,MD
University of Baltimore,Baltimore,MD
Bowie State University,Bowie,MD
Capitol Technology University,Laurel,MD
Cecil College,North East,MD
College of Southern Maryland,La Plata,MD
Chesapeake College,Wye Mills,MD
Washington Adventist University,Takoma Park,MD
Coppin State University,Baltimore,MD
Delmarva Beauty Academy,Salisbury,MD
North American Trade Schools,Baltimore,MD
Frederick Community College,Frederick,MD
Frostburg State University,Frostburg,MD
Garrett College,McHenry,MD
Goucher College,Baltimore,MD
Kaplan University-Hagerstown Campus,Hagerstown,MD
Hagerstown Community College,Hagerstown,MD
Harford Community College,Bel Air,MD
Hood College,Frederick,MD
Howard Community College,Columbia,MD
The Colorlab Academy of Hair,Bel Air,MD
Johns Hopkins University,Baltimore,MD
L'Academie de Cuisine,Gaithersburg,MD
Lincoln College of Technology-Columbia,Columbia,MD
Loyola University Maryland,Baltimore,MD
Maryland Beauty Academy,Reisterstown,MD
University of Maryland-University College,Adelphi,MD
University of Maryland  Baltimore,Baltimore,MD
University of Maryland-Baltimore County,Baltimore,MD
University of Maryland-College Park,College Park,MD
Maryland Institute College of Art,Baltimore,MD
University of Maryland Eastern Shore,Princess Anne,MD
Fortis Institute-Towson,Towson,MD
Montgomery Beauty School,Silver Spring,MD
Montgomery College,Rockville,MD
Morgan State University,Baltimore,MD
Mount St Mary's University,Emmitsburg,MD
Ner Israel Rabbinical College,Baltimore,MD
Hair Academy Inc-New Carrollton,New Carrollton,MD
Notre Dame of Maryland University,Baltimore,MD
Prince George's Community College,Largo,MD
Brightwood College-Baltimore,Baltimore,MD
Robert Paul Academy of Cosmetology Arts & Sciences,Timonium,MD
Maryland Beauty Academy of Essex,Baltimore,MD
Salisbury University,Salisbury,MD
St Mary's College of Maryland,St. Mary's City,MD
Sojourner-Douglass College,Baltimore,MD
St John's College,Annapolis,MD
Brightwood College-Beltsville,Beltsville,MD
Towson University,Towson,MD
Maryland University of Integrative Health,Laurel,MD
International Beauty School,Cumberland,MD
Stevenson University,Stevenson,MD
Washington College,Chestertown,MD
McDaniel College,Westminster,MD
Wor-Wic Community College,Salisbury,MD
Hult International Business School,Cambridge,MA
New England College of Business and Finance,Boston,MA
American International College,Springfield,MA
Amherst College,Amherst,MA
Andover Newton Theological School,Newton Centre,MA
Anna Maria College,Paxton,MA
Assabet Valley Regional Technical School,Marlborough,MA
Assumption College,Worcester,MA
Babson College,Wellesley,MA
Bancroft School of Massage Therapy,Worcester,MA
Boston Baptist College,Boston,MA
Bay Path University,Longmeadow,MA
Bay State College,Boston,MA
Bay State School of Technology,Canton,MA
Becker College,Worcester,MA
Bentley University,Waltham,MA
Berklee College of Music,Boston,MA
Berkshire Community College,Pittsfield,MA
Empire Beauty School-Boston,Boston,MA
Boston Architectural College,Boston,MA
Boston Graduate School of Psychoanalysis Inc,Brookline,MA
Boston College,Chestnut Hill,MA
The Boston Conservatory,Boston,MA
Boston University,Boston,MA
Brandeis University,Waltham,MA
Bridgewater State University,Bridgewater,MA
Bristol Community College,Fall River,MA
Signature Healthcare Brockton Hospital School of Nursing,Brockton,MA
Bunker Hill Community College,Boston,MA
Cambridge College,Cambridge,MA
Cape Cod Community College,West Barnstable,MA
Catherine Hinds Institute of Esthetics,Woburn,MA
Laboure College,Milton,MA
Clark University,Worcester,MA
Conway School of Landscape Design,Conway,MA
Curry College,Milton,MA
Lincoln Technical Institute-Somerville,Somerville,MA
Dean College,Franklin,MA
Diman Regional Technical Institute,Fall River,MA
National Aviation Academy of New England,Bedford,MA
Eastern Nazarene College,Quincy,MA
Emerson College,Boston,MA
Emmanuel College,Boston,MA
Endicott College,Beverly,MA
Episcopal Divinity School,Cambridge,MA
Rob Roy Academy-Fall River,Fall River,MA
Fisher College,Boston,MA
Fitchburg State University,Fitchburg,MA
Framingham State University,Framingham,MA
Benjamin Franklin Institute of Technology,Boston,MA
Gordon College,Wenham,MA
Gordon-Conwell Theological Seminary,South Hamilton,MA
Greenfield Community College,Greenfield,MA
Hallmark Institute of Photography,Turners Falls,MA
Hampshire College,Amherst,MA
Harvard University,Cambridge,MA
Hebrew College,Newton Centre,MA
Hellenic College-Holy Cross Greek Orthodox School of Theology,Brookline,MA
Henris School of Hair Design,Fitchburg,MA
College of the Holy Cross,Worcester,MA
Holyoke Community College,Holyoke,MA
Kay Harvey Academy of Hair Design,West Springfield,MA
La Baron Hairdressing Academy-Brockton,Brockton,MA
La Baron Hairdressing Academy-New Bedford,New Bedford,MA
Lasell College,Newton,MA
Lawrence Memorial Hospital School of Nursing,Medford,MA
Lesley University,Cambridge,MA
Lowell Academy Hairstyling Institute,Lowell,MA
University of Massachusetts-Lowell,Lowell,MA
Mansfield Beauty Schools-Springfield,Springfield,MA
Mansfield Beauty Schools-Quincy,Quincy,MA
Marian Court College,Swampscott,MA
University of Massachusetts-Amherst,Amherst,MA
University of Massachusetts-Boston,Boston,MA
Massachusetts Bay Community College,Wellesley Hills,MA
MCPHS University,Boston,MA
Massachusetts College of Art and Design,Boston,MA
Massachusetts Institute of Technology,Cambridge,MA
Massachusetts Maritime Academy,Buzzards Bay,MA
University of Massachusetts Medical School Worcester,Worcester,MA
William James College,Newton,MA
Massachusetts School of Barbering,Quincy,MA
Massasoit Community College,Brockton,MA
Merrimack College,North Andover,MA
MGH Institute of Health Professions,Boston,MA
Middlesex Community College,Bedford,MA
Montserrat College of Art,Beverly,MA
Mount Holyoke College,South Hadley,MA
Mount Ida College,Newton,MA
Mount Wachusett Community College,Gardner,MA
Cortiva Institute-Boston,Watertown,MA
School of the Museum of Fine Arts-Boston,Boston,MA
Everest Institute-Brighton,Brighton,MA
Rob Roy Academy-New Bedford,New Bedford,MA
The New England Conservatory of Music,Boston,MA
New England College of Optometry,Boston,MA
New England School of Acupuncture,Newton,MA
New England Law-Boston,Boston,MA
New England School of Photography,Boston,MA
Newbury College,Brookline,MA
Nichols College,Dudley,MA
Massachusetts College of Liberal Arts,North Adams,MA
North Bennet Street School,Boston,MA
North Shore Community College,Danvers,MA
The New England Institute of Art,Brookline,MA
Northeastern University,Boston,MA
Northern Essex Community College,Haverhill,MA
College of Our Lady of the Elms,Chicopee,MA
Pine Manor College,Chestnut Hill,MA
Pope St John XXIII National Seminary,Weston,MA
Quincy College,Quincy,MA
Quinsigamond Community College,Worcester,MA
Regis College,Weston,MA
Roxbury Community College,Roxbury Crossing,MA
Saint John's Seminary,Brighton,MA
Salem State University,Salem,MA
Salter College-West Boylston,West Boylston,MA
Simmons College,Boston,MA
Bard College at Simon's Rock,Great Barrington,MA
Smith College,Northampton,MA
Southeastern Technical Institute,South Easton,MA
Springfield College,Springfield,MA
Springfield Technical Community College,Springfield,MA
University of Massachusetts-Dartmouth,North Dartmouth,MA
Stonehill College,Easton,MA
Suffolk University,Boston,MA
Rob Roy Academy-Taunton,Taunton,MA
Tufts University,Medford,MA
Wellesley College,Wellesley,MA
Wentworth Institute of Technology,Boston,MA
Western New England University,Springfield,MA
Westfield State University,Westfield,MA
Wheaton College,Norton,MA
Wheelock College,Boston,MA
Williams College,Williamstown,MA
Worcester Polytechnic Institute,Worcester,MA
Worcester State University,Worcester,MA
Adrian College,Adrian,MI
Albion College,Albion,MI
Hillsdale Beauty College,Hillsdale,MI
Northwestern Technological Institute,Southfield,MI
Alma College,Alma,MI
Alpena Community College,Alpena,MI
Andrews University,Berrien Springs,MI
Aquinas College,Grand Rapids,MI
Baker College of Owosso,Owosso,MI
Baker College,Flint,MI
Bay de Noc Community College,Escanaba,MI
Bayshire Academy of Beauty Craft Inc,Bay City,MI
Cadillac Institute of Cosmetology,Cadillac,MI
Calvin College,Grand Rapids,MI
Calvin Theological Seminary,Grand Rapids,MI
Carnegie Institute,Troy,MI
Michigan School of Professional Psychology,Farmington Hills,MI
Central Michigan University,Mount Pleasant,MI
Mott Community College,Flint,MI
Empire Beauty School-Michigan,Grand Rapids,MI
Cleary University,Howell,MI
Cranbrook Academy of Art,Bloomfield Hills,MI
College for Creative Studies,Detroit,MI
Davenport University,Grand Rapids,MI
David Pressley School of Cosmetology,Royal Oak,MI
Delta College,University Center,MI
Detroit Business Institute-Downriver,Riverview,MI
Michigan State University-College of Law,East Lansing,MI
MIAT College of Technology,Canton,MI
University of Detroit Mercy,Detroit,MI
Dorsey Business Schools-Madison Heights,Madison Heights,MI
Dorsey Business Schools-Southgate,Southgate,MI
Eastern Michigan University,Ypsilanti,MI
Ferris State University,Big Rapids,MI
Flint Institute of Barbering Inc,Flint,MI
Glen Oaks Community College,Centreville,MI
Kettering University,Flint,MI
Gogebic Community College,Ironwood,MI
Grace Bible College,Wyoming,MI
Cornerstone University,Grand Rapids,MI
Everest Institute-Grand Rapids,Grand Rapids,MI
Grand Rapids Community College,Grand Rapids,MI
Grand Valley State University,Allendale,MI
Great Lakes Christian College,Lansing,MI
Henry Ford College,Dearborn,MI
Hope College,Holland,MI
ITT Technical Institute-Wyoming,Wyoming,MI
Jackson College,Jackson,MI
Wright Beauty Academy,Portage,MI
Kalamazoo College,Kalamazoo,MI
Kalamazoo Valley Community College,Kalamazoo,MI
Kellogg Community College,Battle Creek,MI
Kirtland Community College,Roscommon,MI
Michigan College of Beauty-Monroe,Monroe,MI
Lake Michigan College,Benton Harbor,MI
Lake Superior State University,Sault Ste Marie,MI
Lansing Community College,Lansing,MI
Lawrence Technological University,Southfield,MI
M J Murphy Beauty College of Mount Pleasant,Mount Pleasant,MI
Macomb Community College,Warren,MI
Madonna University,Livonia,MI
Marygrove College,Detroit,MI
Rochester College,Rochester Hills,MI
University of Michigan-Ann Arbor,Ann Arbor,MI
Michigan Barber School Inc,Detroit,MI
Michigan State University,East Lansing,MI
Michigan Technological University,Houghton,MI
University of Michigan-Dearborn,Dearborn,MI
University of Michigan-Flint,Flint,MI
Mid Michigan Community College,Harrison,MI
Monroe County Community College,Monroe,MI
Montcalm Community College,Sidney,MI
Mr Bela's School of Cosmetology Inc,Warren,MI
Baker College of Muskegon,Muskegon,MI
Muskegon Community College,Muskegon,MI
Everest College-Skokie,Skokie,IL
Everest Institute-Southfield,Southfield,MI
North Central Michigan College,Petoskey,MI
Northern Michigan University,Marquette,MI
Paul Mitchell the School-Escanaba,Escanaba,MI
Northwestern Michigan College,Traverse City,MI
Northwood University-Michigan,Midland,MI
Oakland Community College,Bloomfield Hills,MI
Oakland University,Rochester Hills,MI
Olivet College,Olivet,MI
Port Huron Cosmetology College,Waterford,MI
Kuyper College,Grand Rapids,MI
Ross Medical Education Center-Lansing,Lansing,MI
Ross Medical Education Center-Madison Heights,Madison Heights,MI
Ross Medical Education Center-Flint,Flint,MI
Sacred Heart Major Seminary,Detroit,MI
Saginaw Valley State University,University Center,MI
Schoolcraft College,Livonia,MI
Siena Heights University,Adrian,MI
St Clair County Community College,Port Huron,MI
Southwestern Michigan College,Dowagiac,MI
Specs Howard School of Media Arts,Southfield,MI
Spring Arbor University,Spring Arbor,MI
Michigan Career and Technical Institute,Plainwell,MI
Finlandia University,Hancock,MI
Western Michigan University-Thomas M. Cooley Law School,Lansing,MI
Twin City Beauty College,Saint Joseph,MI
Walsh College of Accountancy and Business Administration,Troy,MI
Washtenaw Community College,Ann Arbor,MI
Wayne County Community College District,Detroit,MI
Wayne State University,Detroit,MI
West Shore Community College,Scottville,MI
Excel Academies of Cosmetology-Kentwood,Kentwood,MI
Western Michigan University,Kalamazoo,MI
Western Theological Seminary,Holland,MI
Wright Beauty Academy,Battle Creek,MI
Academy College,Bloomington,MN
Alexandria Technical & Community College,Alexandria,MN
American Indian OIC Inc,Minneapolis,MN
Anoka Technical College,Anoka,MN
Anoka-Ramsey Community College,Coon Rapids,MN
Augsburg College,Minneapolis,MN
Riverland Community College,Austin,MN
Northwest Technical College,Bemidji,MN
Bemidji State University,Bemidji,MN
Bethany Lutheran College,Mankato,MN
Bethel University,Saint Paul,MN
Bethel Seminary-St Paul,Saint Paul,MN
Central Lakes College-Brainerd,Brainerd,MN
Carleton College,Northfield,MN
Concordia College at Moorhead,Moorhead,MN
Concordia University-Saint Paul,Saint Paul,MN
Dakota County Technical College,Rosemount,MN
Martin Luther College,New Ulm,MN
Lake Superior College,Duluth,MN
Cosmetology Careers Unlimited College of Hair Skin and Nails,Duluth,MN
Duluth Business University,Duluth,MN
Minnesota State Community and Technical College,Fergus Falls,MN
Globe University-Woodbury,Woodbury,MN
Minnesota West Community and Technical College,Granite Falls,MN
Gustavus Adolphus College,Saint Peter,MN
Hamline University,Saint Paul,MN
Hazelden Betty Ford Graduate School of Addiction Studies,Center City,MN
Hennepin Technical College,Brooklyn Park,MN
Cosmetology Careers Unlimited College of Hair Skin and Nails,Hibbing,MN
Hibbing Community College,Hibbing,MN
Aveda Institute-Minneapolis,Minneapolis,MN
Inver Hills Community College,Inver Grove Heights,MN
Itasca Community College,Grand Rapids,MN
The Art Institutes International-Minnesota,Minneapolis,MN
Luther Seminary,Saint Paul,MN
Macalester College,Saint Paul,MN
South Central College,North Mankato,MN
Minnesota State University-Mankato,Mankato,MN
Regency Beauty Institute-Blaine,Blaine,MN
Mayo Medical School,Rochester,MN
Mayo School of Health Sciences,Rochester,MN
Argosy University-Twin Cities,Eagan,MN
Mesabi Range College,Virginia,MN
Metropolitan State University,Saint Paul,MN
University of Minnesota-Twin Cities,Minneapolis,MN
University of Minnesota-Crookston,Crookston,MN
Minneapolis Business College,Roseville,MN
Minneapolis College of Art and Design,Minneapolis,MN
Minneapolis Community and Technical College,Minneapolis,MN
Herzing University-Minneapolis,Minneapolis,MN
Minnesota School of Cosmetology-Woodbury Campus,WOODBURY,MN
Crossroads College,Rochester,MN
University of Minnesota-Duluth,Duluth,MN
University of Minnesota-Morris,Morris,MN
Minnesota School of Business-Richfield,Richfield,MN
Model College of Hair Design,Saint Cloud,MN
Minnesota State University Moorhead,Moorhead,MN
North Hennepin Community College,Brooklyn Park,MN
National American University-Roseville,Roseville,MN
Sanford-Brown College-Mendota Heights,Mendota Heights,MN
Normandale Community College,Bloomington,MN
